26-06-2015 11:30:28,865 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@16ae079{/static,null,UNAVAILABLE}
26-06-2015 11:30:28,868 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:30:28,869 [main] INFO  - Started o.e.j.s.h.ContextHandler@6a79dce{/static,null,AVAILABLE}
26-06-2015 11:30:28,871 [main] INFO  - Started ServerConnector@8a051f4{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:30:28,871 [main] INFO  - Started @1611ms
26-06-2015 11:30:28,884 [main] INFO  - Stopped ServerConnector@8a051f4{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:30:28,885 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@6a79dce{/static,null,UNAVAILABLE}
26-06-2015 11:36:50,746 [main] INFO  - Logging initialized @160ms
26-06-2015 11:36:50,827 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:36:50,842 [main] INFO  - Started o.e.j.s.h.ContextHandler@592bf469{/static,null,AVAILABLE}
26-06-2015 11:36:50,863 [main] INFO  - Started ServerConnector@61f3318a{HTTP/1.1}{0.0.0.0:8892}
26-06-2015 11:36:50,863 [main] INFO  - Started @282ms
26-06-2015 11:36:52,292 [main] INFO  - Logging initialized @1160ms
26-06-2015 11:36:52,355 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:36:52,368 [main] INFO  - Started o.e.j.s.h.ContextHandler@64d40911{/static,null,AVAILABLE}
26-06-2015 11:36:52,385 [main] INFO  - Started ServerConnector@4149888e{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:36:52,385 [main] INFO  - Started @1255ms
26-06-2015 11:36:52,801 [main] INFO  - Stopped ServerConnector@4149888e{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:36:52,802 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@64d40911{/static,null,UNAVAILABLE}
26-06-2015 11:36:52,807 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:36:52,810 [main] INFO  - Started o.e.j.s.h.ContextHandler@32197044{/static,null,AVAILABLE}
26-06-2015 11:36:52,811 [main] INFO  - Started ServerConnector@cd11fa6{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:36:52,811 [main] INFO  - Started @1681ms
26-06-2015 11:36:52,833 [main] INFO  - Stopped ServerConnector@cd11fa6{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:36:52,834 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@32197044{/static,null,UNAVAILABLE}
26-06-2015 11:36:52,837 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:36:52,843 [main] INFO  - Started o.e.j.s.h.ContextHandler@4c4d89ab{/static,null,AVAILABLE}
26-06-2015 11:36:52,844 [main] INFO  - Started ServerConnector@768960af{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:36:52,844 [main] INFO  - Started @1714ms
26-06-2015 11:36:52,873 [main] INFO  - Stopped ServerConnector@768960af{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:36:52,874 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@4c4d89ab{/static,null,UNAVAILABLE}
26-06-2015 11:36:52,876 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:36:52,878 [main] INFO  - Started o.e.j.s.h.ContextHandler@1b85167d{/static,null,AVAILABLE}
26-06-2015 11:36:52,879 [main] INFO  - Started ServerConnector@3e8776a8{HTTP/1.1}{0.0.0.0:8888}
